atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;HFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);HFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;PFC;kt CO2eq;1.16
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;PFC;kt CO2eq;0.00
2017;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);PFC;kt CO2eq;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;As;kg;0.17
2017;Metales pesados;2,0;Plantas de combustión no industrial;As;kg;27.73
2017;Metales pesados;3,0;Plantas de combustión industrial;As;kg;9.67
2017;Metales pesados;4,0;Procesos industriales sin combustión;As;kg;2.23
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;As;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;As;kg;0.00
2017;Metales pesados;7,0;Transporte por carretera;As;kg;13.19
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;As;kg;0.23
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;As;kg;2.71
2017;Metales pesados;10,0;Agricultura;As;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);As;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cd;kg;0.92
2017;Metales pesados;2,0;Plantas de combustión no industrial;Cd;kg;23.45
2017;Metales pesados;3,0;Plantas de combustión industrial;Cd;kg;60.88
2017;Metales pesados;4,0;Procesos industriales sin combustión;Cd;kg;32.99
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cd;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Cd;kg;50.80
2017;Metales pesados;7,0;Transporte por carretera;Cd;kg;39.34
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cd;kg;0.63
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cd;kg;3.59
2017;Metales pesados;10,0;Agricultura;Cd;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cd;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cr;kg;1.64
2017;Metales pesados;2,0;Plantas de combustión no industrial;Cr;kg;341.17
2017;Metales pesados;3,0;Plantas de combustión industrial;Cr;kg;168.06
2017;Metales pesados;4,0;Procesos industriales sin combustión;Cr;kg;28.87
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cr;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Cr;kg;0.01
2017;Metales pesados;7,0;Transporte por carretera;Cr;kg;569.55
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cr;kg;29.53
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cr;kg;7.26
2017;Metales pesados;10,0;Agricultura;Cr;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cr;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cu;kg;0.43
2017;Metales pesados;2,0;Plantas de combustión no industrial;Cu;kg;85.68
2017;Metales pesados;3,0;Plantas de combustión industrial;Cu;kg;53.32
2017;Metales pesados;4,0;Procesos industriales sin combustión;Cu;kg;5.50
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cu;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Cu;kg;51.04
2017;Metales pesados;7,0;Transporte por carretera;Cu;kg;14530.59
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cu;kg;107.51
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cu;kg;12.21
2017;Metales pesados;10,0;Agricultura;Cu;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cu;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Hg;kg;0.19
2017;Metales pesados;2,0;Plantas de combustión no industrial;Hg;kg;17.61
2017;Metales pesados;3,0;Plantas de combustión industrial;Hg;kg;23.90
2017;Metales pesados;4,0;Procesos industriales sin combustión;Hg;kg;20.89
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Hg;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Hg;kg;15.09
2017;Metales pesados;7,0;Transporte por carretera;Hg;kg;21.99
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Hg;kg;5.08
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Hg;kg;36.21
2017;Metales pesados;10,0;Agricultura;Hg;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Hg;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Ni;kg;0.15
2017;Metales pesados;2,0;Plantas de combustión no industrial;Ni;kg;2945.66
2017;Metales pesados;3,0;Plantas de combustión industrial;Ni;kg;448.84
2017;Metales pesados;4,0;Procesos industriales sin combustión;Ni;kg;112.72
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Ni;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Ni;kg;25.42
2017;Metales pesados;7,0;Transporte por carretera;Ni;kg;303.86
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Ni;kg;3.85
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Ni;kg;3.99
2017;Metales pesados;10,0;Agricultura;Ni;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Ni;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Pb;kg;1.92
2017;Metales pesados;2,0;Plantas de combustión no industrial;Pb;kg;406.23
2017;Metales pesados;3,0;Plantas de combustión industrial;Pb;kg;181.04
2017;Metales pesados;4,0;Procesos industriales sin combustión;Pb;kg;412.39
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Pb;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Pb;kg;0.44
2017;Metales pesados;7,0;Transporte por carretera;Pb;kg;2504.18
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Pb;kg;267.22
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Pb;kg;30.69
2017;Metales pesados;10,0;Agricultura;Pb;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Pb;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Se;kg;0.10
2017;Metales pesados;2,0;Plantas de combustión no industrial;Se;kg;5.70
2017;Metales pesados;3,0;Plantas de combustión industrial;Se;kg;20.12
2017;Metales pesados;4,0;Procesos industriales sin combustión;Se;kg;0.00
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Se;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Se;kg;0.00
2017;Metales pesados;7,0;Transporte por carretera;Se;kg;43.50
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Se;kg;0.74
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Se;kg;4.90
2017;Metales pesados;10,0;Agricultura;Se;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Se;kg;0.00
2017;Metales pesados;1,0;Combustión en la producción y transformación de energía;Zn;kg;37.01
2017;Metales pesados;2,0;Plantas de combustión no industrial;Zn;kg;1050.61
2017;Metales pesados;3,0;Plantas de combustión industrial;Zn;kg;2390.65
2017;Metales pesados;4,0;Procesos industriales sin combustión;Zn;kg;632.34
2017;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Zn;kg;0.00
2017;Metales pesados;6,0;Uso de disolventes y otros productos;Zn;kg;25.54
2017;Metales pesados;7,0;Transporte por carretera;Zn;kg;7122.55
2017;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Zn;kg;95.26
2017;Metales pesados;9,0;Tratamiento y eliminación de residuos;Zn;kg;368.96
2017;Metales pesados;10,0;Agricultura;Zn;kg;0.00
2017;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Zn;kg;0.00
2017;Partículas;1,0;Combustión en la producción y transformación de energía;PM2,5;t;67.25
2017;Partículas;2,0;Plantas de combustión no industrial;PM2,5;t;1057.10
2017;Partículas;3,0;Plantas de combustión industrial;PM2,5;t;712.20
2017;Partículas;4,0;Procesos industriales sin combustión;PM2,5;t;134.92
2017;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM2,5;t;0.00
2017;Partículas;6,0;Uso de disolventes y otros productos;PM2,5;t;282.99
2017;Partículas;7,0;Transporte por carretera;PM2,5;t;1653.21
2017;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM2,5;t;381.11
2017;Partículas;9,0;Tratamiento y eliminación de residuos;PM2,5;t;267.18
2017;Partículas;10,0;Agricultura;PM2,5;t;35.91
2017;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM2,5;t;31.57
2017;Partículas;1,0;Combustión en la producción y transformación de energía;PM10;t;68.31
2017;Partículas;2,0;Plantas de combustión no industrial;PM10;t;1237.50
2017;Partículas;3,0;Plantas de combustión industrial;PM10;t;752.05
2017;Partículas;4,0;Procesos industriales sin combustión;PM10;t;1159.96
2017;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM10;t;0.00
2017;Partículas;6,0;Uso de disolventes y otros productos;PM10;t;309.78
2017;Partículas;7,0;Transporte por carretera;PM10;t;2246.28
2017;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM10;t;381.77
2017;Partículas;9,0;Tratamiento y eliminación de residuos;PM10;t;272.90
2017;Partículas;10,0;Agricultura;PM10;t;593.25
2017;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM10;t;38.59
2017;Partículas;1,0;Combustión en la producción y transformación de energía;PST;t;70.43
2017;Partículas;2,0;Plantas de combustión no industrial;PST;t;1439.78
2017;Partículas;3,0;Plantas de combustión industrial;PST;t;803.65
2017;Partículas;4,0;Procesos industriales sin combustión;PST;t;3782.13
2017;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PST;t;0.00
2017;Partículas;6,0;Uso de disolventes y otros productos;PST;t;315.31
2017;Partículas;7,0;Transporte por carretera;PST;t;2991.01
2017;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PST;t;382.58
2017;Partículas;9,0;Tratamiento y eliminación de residuos;PST;t;275.30
2017;Partículas;10,0;Agricultura;PST;t;791.85
2017;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PST;t;59.63
2017;Partículas;1,0;Combustión en la producción y transformación de energía;BC;t;0.15
2017;Partículas;2,0;Plantas de combustión no industrial;BC;t;82.07
2017;Partículas;3,0;Plantas de combustión industrial;BC;t;185.70
2017;Partículas;4,0;Procesos industriales sin combustión;BC;t;0.19
2017;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BC;t;0.00
2017;Partículas;6,0;Uso de disolventes y otros productos;BC;t;114.29
2017;Partículas;7,0;Transporte por carretera;BC;t;820.37
2017;Partículas;8,0;Otros modos de transporte y maquinaria móvil;BC;t;185.92
2017;Partículas;9,0;Tratamiento y eliminación de residuos;BC;t;48.40
2017;Partículas;10,0;Agricultura;BC;t;0.00
2017;Partículas;11,0;Otras fuentes y sumideros (naturaleza);BC;t;2.84
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;HCB;kg;0.00
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;HCB;kg;0.01
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;HCB;kg;0.03
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;HCB;kg;0.00
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HCB;kg;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;HCB;kg;0.00
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;HCB;kg;0.00
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;HCB;kg;0.00
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;HCB;kg;0.13
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;HCB;kg;0.10
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);HCB;kg;0.00
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;DIOX;g;0.01
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;DIOX;g;1.17
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;DIOX;g;0.51
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;DIOX;g;1.14
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;DIOX;g;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;DIOX;g;0.00
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;DIOX;g;1.29
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;DIOX;g;0.00
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;DIOX;g;2.02
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;DIOX;g;0.00
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);DIOX;g;0.00
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO(a);kg;0.71
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO(a);kg;358.88
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO(a);kg;46.23
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO(a);kg;0.00
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO(a);kg;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO(a);kg;1.11
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO(a);kg;61.09
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO(a);kg;1.56
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO(a);kg;0.11
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO(a);kg;0.00
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO(a);kg;0.00
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO(b);kg;1.13
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO(b);kg;353.26
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO(b);kg;74.79
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO(b);kg;0.00
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO(b);kg;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO(b);kg;0.46
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO(b);kg;79.33
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO(b);kg;2.53
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO(b);kg;0.20
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO(b);kg;0.00
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO(b);kg;0.00
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO(k);kg;0.35
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO(k);kg;143.23
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO(k);kg;23.99
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO(k);kg;0.00
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO(k);kg;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO(k);kg;0.46
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO(k);kg;66.65
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO(k);kg;1.76
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO(k);kg;0.45
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO(k);kg;0.00
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO(k);kg;0.00
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;INDENO;kg;0.28
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;INDENO;kg;146.10
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;INDENO;kg;19.51
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;INDENO;kg;0.00
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;INDENO;kg;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;INDENO;kg;0.46
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;INDENO;kg;58.98
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;INDENO;kg;6.93
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;INDENO;kg;0.00
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;INDENO;kg;0.00
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);INDENO;kg;0.00
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;HAP;kg;2.48
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;HAP;kg;1001.47
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;HAP;kg;164.52
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;HAP;kg;131.97
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HAP;kg;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;HAP;kg;2.48
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;HAP;kg;266.06
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;HAP;kg;12.78
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;HAP;kg;0.76
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;HAP;kg;0.00
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);HAP;kg;0.00
2017;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;PCB;kg;0.00
2017;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;PCB;kg;0.21
2017;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;PCB;kg;0.00
2017;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;PCB;kg;0.69
2017;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PCB;kg;0.00
2017;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;PCB;kg;58.34
2017;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;PCB;kg;0.26
2017;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;PCB;kg;0.00
2017;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;PCB;kg;0.01
2017;Contaminantes orgánicos persistentes;10,0;Agricultura;PCB;kg;0.00
2017;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);PCB;kg;0.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;SOx;t;0.33
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;SOx;t;3930.82
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;SOx;t;2044.60
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;SOx;t;14.25
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;SOx;t;0.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;SOx;t;1.79
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;SOx;t;46.37
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;SOx;t;1799.14
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;SOx;t;127.63
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;SOx;t;0.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);SOx;t;5.03
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;NOx;t;386.08
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;NOx;t;5349.42
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;NOx;t;4357.49
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;NOx;t;30.88
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;NOx;t;0.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;NOx;t;16.20
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;NOx;t;33274.51
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;NOx;t;31576.93
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;NOx;t;329.52
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;NOx;t;742.30
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);NOx;t;25.17
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;COVNM;t;22.17
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;COVNM;t;831.07
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;COVNM;t;1735.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;COVNM;t;1455.60
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;COVNM;t;650.42
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;COVNM;t;36169.27
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;COVNM;t;4305.54
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;COVNM;t;1234.14
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;COVNM;t;654.48
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;COVNM;t;758.29
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);COVNM;t;66.31
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CH4;t;138.14
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CH4;t;1405.57
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CH4;t;3102.52
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CH4;t;0.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CH4;t;467.05
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CH4;t;0.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CH4;t;646.66
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CH4;t;73.19
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CH4;t;51271.74
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CH4;t;7460.30
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CH4;t;8.48
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CO;t;605.23
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CO;t;9163.65
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CO;t;4981.02
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CO;t;404.08
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CO;t;0.00
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CO;t;495.36
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CO;t;39982.89
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CO;t;7243.38
2016;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CO;t;1718.74
