atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CO;t;5326.72
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CO;t;380.91
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CO;t;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CO;t;502.16
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CO;t;22229.67
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CO;t;9989.34
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CO;t;2074.15
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CO;t;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CO;t;2436.15
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CO2;t CO2eq;44176.62
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CO2;t CO2eq;4975066.34
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CO2;t CO2eq;2030538.81
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CO2;t CO2eq;515257.45
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CO2;t CO2eq;20.74
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CO2;t CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CO2;t CO2eq;10282762.94
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CO2;t CO2eq;6453469.73
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CO2;t CO2eq;243143.87
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CO2;t CO2eq;3174.10
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CO2;t CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;N2O;t;1.39
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;N2O;t;27.12
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;N2O;t;39.01
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;N2O;t;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;N2O;t;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;N2O;t;284.94
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;N2O;t;321.57
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;N2O;t;176.85
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;N2O;t;522.27
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;N2O;t;201.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);N2O;t;14.52
